10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <10712.151367, 211.616730, 8035.583008>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <10708.115234, 211.152924, 8023.333008>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <10688.790039, 211.199997, 8028.441406>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <10733.883789, 212.100006, 8033.669922>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <3772.269531, 187.729080, 13094.598633>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <3772.888916, 188.023987, 13077.363281>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <3767.137451, 187.749786, 13091.822266>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <3757.602783, 187.842407, 13110.462891>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <11927.510742, 54.077602, 9162.722656>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <11947.437500, 54.077602, 9150.196289>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <11914.941406, 54.089359, 9186.369141>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <11920.492188, 54.077602, 9180.273438>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <13588.805664, 38.181065, 3008.603760>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <13578.371094, 34.662254, 3022.715820>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <13600.936523, 41.738411, 3002.144775>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <9593.952148, 211.680817, 6535.251953>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <9601.163086, 215.239990, 6518.382813>
10.12.2021 17:34:19 [Dayz-Dog] Spawned Wild Dog at <9574.138672, 210.913437, 6542.907227>
10.12.2021 17:36:58 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <13397.632813, 27.409761, 3417.618408>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <13409.978516, 27.771620, 3438.792725>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <13395.354492, 26.074585, 3419.028809>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <4978.440918, 444.110779, 14837.457031>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <4962.611328, 446.854645, 14838.137695>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <4999.146973, 438.797272, 14842.683594>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <1377.961548, 471.209534, 14154.412109>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <1387.596924, 471.250549, 14163.087891>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <1362.934692, 475.287537, 14178.362305>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <1371.276855, 473.879883, 14173.628906>
10.12.2021 17:37:25 [Dayz-Dog] Spawned Wild Dog at <4566.859863, 293.301178, 11335.611328>
10.12.2021 20:01:13 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <13646.730469, 42.867172, 3018.593262>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <13663.426758, 42.492466, 3040.529053>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <13656.205078, 43.281536, 3009.230713>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <13627.076172, 42.094444, 3030.322021>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <6199.665039, 169.778839, 12784.791016>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <6186.169434, 174.545975, 12808.163086>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <6188.102051, 173.652695, 12803.956055>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <14155.519531, 5.695905, 12958.805664>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <14172.628906, 4.930318, 12968.407227>
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <14132.554688, 7.727655, 12951.108398>
